
[00:00:00.000 --> 00:00:04.000]   [laughter]
[00:07:03.000 --> 00:07:07.000]   And then we have, apart from storage, in order for you to tune a model,
[00:07:07.000 --> 00:07:12.000]   what would be the essential things from our ML perspective.
[00:07:12.000 --> 00:07:16.000]   Like on a higher level, if you can see those things, those kind of requirements.
[00:07:16.000 --> 00:07:23.000]   I might just pitch it to Lakshman and then if required, like if required, any kind of peaks we can.
[00:07:23.000 --> 00:07:28.000]   But currently we need to send out a mail that is by EOD from my time.
[00:07:28.000 --> 00:07:29.000]   So I need to send out a mail.
[00:07:29.000 --> 00:07:31.000]   That's the reason I'm having this conversation.
[00:07:31.000 --> 00:07:32.000]   Here we go.
[00:07:32.000 --> 00:07:36.000]   Okay, let me give you this rough idea I am going to tell you.
[00:07:36.000 --> 00:07:41.000]   The first step that I can think is the VRAM availability.
[00:07:41.000 --> 00:07:48.000]   So at least in my mind, we have to use this kind of models, kind of Lama 3.3.
[00:07:48.000 --> 00:07:50.000]   I will tell you why.
[00:07:50.000 --> 00:08:03.000]   It was, as I knew two months ago, the statistic says that this is performing very well in resonic evaluation and mathematical things.
[00:08:03.000 --> 00:08:07.000]   Lama 3.3 is kind of average and is open.
[00:08:07.000 --> 00:08:19.000]   It's required at least 19 gigabytes in VRAM because it's kind of moderated level size of model.
[00:08:19.000 --> 00:08:27.000]   This is the kind of thing that we need at least 19 gigabytes in VRAM.
[00:08:27.000 --> 00:08:30.000]   Should we speak in VRAM?
[00:08:30.000 --> 00:08:32.000]   Okay.
[00:08:32.000 --> 00:08:35.000]   Yeah, this kind of thing.
[00:08:35.000 --> 00:08:44.000]   But because we are going to run multiple kind of systems.
[00:08:44.000 --> 00:08:52.000]   I truly suggest at least to have 36 gigabytes on VRAM available all the time.
[00:08:52.000 --> 00:09:00.000]   If we can get more, it will be more because it's not only going to leave one single agent at the time.
[00:09:00.000 --> 00:09:04.000]   We are going to load separate of them, at least two.
[00:09:04.000 --> 00:09:06.000]   So this is me.
[00:09:06.000 --> 00:09:08.000]   What's the number that reported?
[00:09:08.000 --> 00:09:12.000]   36 gigabytes all the time to have available.
[00:09:12.000 --> 00:09:15.000]   136 gigabytes is what you're saying.
[00:09:15.000 --> 00:09:17.000]   136.
[00:09:17.000 --> 00:09:20.000]   36.
[00:09:20.000 --> 00:09:22.000]   36 gigabytes.
[00:09:22.000 --> 00:09:24.000]   36 gigabytes.
[00:09:24.000 --> 00:09:28.000]   36 GB of VRAM all the time.
[00:09:28.000 --> 00:09:30.000]   Okay, got it.
[00:09:30.000 --> 00:09:34.000]   It cannot be a kind of small machine.
[00:09:34.000 --> 00:09:40.000]   And I have to say in terms of hard drive.
[00:09:40.000 --> 00:09:46.000]   I am thinking that we need to have Theta bytes available all the time.
[00:09:46.000 --> 00:09:54.000]   At least all the time to Theta bytes all the time for capturing all the data, all the logs.
[00:09:54.000 --> 00:10:00.000]   Every single movement, every single motion.
[00:10:00.000 --> 00:10:05.000]   We need, I will propose because this is the faster way.
[00:10:05.000 --> 00:10:16.000]   So a three bucket, a V3 bucket to have everything in production at the production level.
[00:10:16.000 --> 00:10:19.000]   So you're saying two Theta bytes all the time.
[00:10:19.000 --> 00:10:20.000]   All the time.
[00:10:20.000 --> 00:10:22.000]   And this is, yeah, all the time.
[00:10:22.000 --> 00:10:34.000]   And this is, let's say, this is during development, which all environments would this come up to like, I'm just thinking like, you know, are you suggesting this while we're developing things or when we push things to production.
[00:10:34.000 --> 00:10:36.000]   What is that?
[00:10:36.000 --> 00:10:39.000]   And any thought on that?
[00:10:39.000 --> 00:10:40.000]   Yes.
[00:10:40.000 --> 00:10:42.000]   Because we need to train.
[00:10:42.000 --> 00:10:44.000]   This is, this is what I'm trying to say.
[00:10:44.000 --> 00:10:48.000]   We need to train our machine learning models.
[00:10:48.000 --> 00:10:54.000]   So we need a huge amount of data for making this, at least during development.
[00:10:54.000 --> 00:11:03.000]   We need this kind of two Theta bytes available for all these backend because we need to hold the data to make the training to.
[00:11:03.000 --> 00:11:10.000]   Use the agents to have all those training pipeline.
[00:11:10.000 --> 00:11:12.000]   All the time available.
[00:11:12.000 --> 00:11:15.000]   This is from the side of the development.
[00:11:15.000 --> 00:11:16.000]   Sorry.
[00:11:16.000 --> 00:11:17.000]   Yes.
[00:11:17.000 --> 00:11:19.000]   That one.
[00:11:19.000 --> 00:11:20.000]   So.
[00:11:20.000 --> 00:11:21.000]   Okay.
[00:11:21.000 --> 00:11:22.000]   Yeah.
[00:11:22.000 --> 00:11:23.000]   More like that.
[00:11:23.000 --> 00:11:26.000]   I am thinking we need a gateway.
[00:11:26.000 --> 00:11:29.000]   And also.
[00:11:29.000 --> 00:11:30.000]   What is that?
[00:11:30.000 --> 00:11:31.000]   The gateway.
[00:11:31.000 --> 00:11:32.000]   Yeah.
[00:11:32.000 --> 00:11:33.000]   The gateway.
[00:11:33.000 --> 00:11:34.000]   The gateway.
[00:11:34.000 --> 00:11:35.000]   Yeah.
[00:11:35.000 --> 00:11:36.000]   That's fine.
[00:11:36.000 --> 00:11:37.000]   Yes.
[00:11:37.000 --> 00:11:58.000]   And also, just in terms of scalability, today, you'll be having, let's say, like I've just, like I've read a more article that is cross region, global cross region, something, you know, there's some kind of a very similar kind
[00:11:58.000 --> 00:12:02.000]   of process of cloud front edge cases edge locations, right?
[00:12:02.000 --> 00:12:22.000]   Like how, like if one is not there, like, you know, if anthropic model, you know, hits 429 error, which has been, which has deployed on, you know, in one of your, one of your region, sorry, not region, available center, then we can easily switch off to switch to another center, which is nearby.
[00:12:22.000 --> 00:12:33.000]   And so this easy switching between, you know, your models, which are being deployed in, you know, on premises or maybe any data centers, that easy switch.
[00:12:33.000 --> 00:12:48.000]   So there is, there is a couple, there is a, there is a recent development of that, that particular component and AWS or something that would be also require some, you know, some kind of components of that sort.
[00:12:48.000 --> 00:12:51.000]   In terms of scalability.
[00:12:51.000 --> 00:13:17.000]   Yeah, I think that's just thinking because this is particularly locally, local kind of infrastructure, right, it is particularly for the Caribbean bank, right, they are not dealing with Europe, Asia, and America, I mean, I mean, it's kind of only focus on that time.
[00:13:17.000 --> 00:13:19.000]   Is that correct?
[00:13:19.000 --> 00:13:21.000]   Aditya.
[00:13:21.000 --> 00:13:37.000]   We're thinking a longer run. So what will be built today. So if there are good amount of customers are coming up, like, in terms of scaling, just in terms of scale, and a model, which you have kept, which we have deployed.
[00:13:37.000 --> 00:13:40.000]   So doing it.
[00:13:40.000 --> 00:13:46.000]   What are the best ways for you to scale and I'm a model for us to think on that.
[00:13:46.000 --> 00:13:54.000]   Or is it purely like, you know, your development and keep it in a computer source, and in a cloud system, which automatically scales.
[00:13:54.000 --> 00:13:59.000]   Is that the ideal way that people go forward to or do we have any other approach towards that.
[00:13:59.000 --> 00:14:20.000]   I'm thinking about that. Yes. My idea, actually, when in production, it will be the system. It will be nice to have. It has to be. It has to live into the cloud because it's easily and automatically scaling, because to be honest, I don't have idea what's the size of the traffic of these kind of banks.
[00:14:20.000 --> 00:14:36.000]   I am thinking that is huge is monstering level. So that is why it has to leave it in this kind of AWS outer scaling where accordingly to the sources, it's going to get what is needed.
[00:14:36.000 --> 00:14:54.000]   The small thing is because as you're proposing our own thought process, our own product product. How do I say that in a case where driven system that is our agent to kill us where you know the customer is a customer already has Salesforce based product.
[00:14:54.000 --> 00:14:57.000]   So why would they want to come to us.
[00:14:57.000 --> 00:15:10.000]   Why would they want to take up our entire solution and build put it up within their system. See, it should be cost efficient for them. It shouldn't feel like you know the license that they give to the license.
[00:15:10.000 --> 00:15:22.000]   How much they procure the sales force, let's say another product when they come into an enhanced product that is like agent to kill us that we have built within K square.
[00:15:22.000 --> 00:15:31.000]   So I was thinking with you, why would they want it unless until that is a good amount of cost efficiency that we bring it for them.
[00:15:31.000 --> 00:15:36.000]   That is our seed ultimately as we are speaking towards the infrastructure.
[00:15:36.000 --> 00:15:52.000]   Is it actually going to take up huge amount of you know, when we actually when we put this kind of setup for every customer for every customer that they have requires 36 GB VRAM storage would be necessary, at least to TV or you know,
[00:15:52.000 --> 00:15:59.000]   to TV, always available for training, gateways, all these things and multiple things out there.
[00:15:59.000 --> 00:16:06.000]   So, is it going to take up huge amount of money for that is something that I'm actually thinking about.
[00:16:06.000 --> 00:16:23.000]   Aditya, I just, I'm just trying to understand this. Aditya, is this a system that is going to leave into the key square infrastructure of it is going to be leave into the bank.
[00:16:23.000 --> 00:16:28.000]   It's going into the bank, into each customer, into each customer.
[00:16:28.000 --> 00:16:39.000]   I understood, did you know I had, I had no idea. It is something that is going to leave in key square and it's going to provide the service to any client.
[00:16:39.000 --> 00:16:49.000]   They're not building a product, they're building a solution which can be leveraged within each and every customer's infrastructure.
[00:16:49.000 --> 00:17:06.000]   They're not a product-based company, they are a service-based company, they build solutions which we portray to them and when they are okay with it, within their on-premises, within their private club, be whatever it is, we implement the solution in their infrastructure.
[00:17:06.000 --> 00:17:16.000]   We are never going to build a product, enterprise product and push it out to the customer. There is no multi-tenancy, there is nothing of that sort, none of these things are being done.
[00:17:16.000 --> 00:17:29.000]   Okay. Let me say this, let me please what you think. This is my proposal because this is going to be a kind of not basic but moderate level kind of system.
[00:17:29.000 --> 00:17:45.000]   We need a powerful machine all the time. This means that I truly suggest to have 13GB RAM all the time to terabytes in hard drive and also to have a fast connection of internet at least
[00:17:45.000 --> 00:17:51.000]   of a long three megabytes per second, sometimes like that.
[00:17:51.000 --> 00:18:03.000]   And for training, for training those kind of things are enough and for making this service I think is for enough for a moderate basic kind of service, at least for now.
[00:18:03.000 --> 00:18:14.000]   Because we are talking on local models at least now, but it supports also these connections to private kind of models. That's not a problem.
[00:18:14.000 --> 00:18:22.000]   Okay, so the reason we need internet is because we are, yeah please.
[00:18:22.000 --> 00:18:43.000]   Because the connection between the private models, this is one thing if we are going to use only for validate all our deployment and the second one because to handle these kind of connections all the time to prove the traffic all the time along the day.
[00:18:43.000 --> 00:18:55.000]   Okay, this, okay, I'll see this internet because I don't know if many people would be going with this.
[00:18:55.000 --> 00:19:07.000]   Okay, that says you can get there you have the RAM storage on storage and hard drive gateway, these are come to services.
[00:19:07.000 --> 00:19:17.000]   Okay, I just want to just give me a minute so that you know, I'm just aligning. And just see if an election.
[00:19:17.000 --> 00:19:22.000]   Just, is he going to call, he's going to call.
[00:19:22.000 --> 00:19:24.000]   Fine, yeah.
[00:19:24.000 --> 00:19:44.000]   Do you find anything else or you feel this is good like in terms of tuning for training model training fine tuning because I've heard good amount of you know processing power required is will be advised while you're tuning a model for sure for fine tuning is it not working.
[00:19:44.000 --> 00:20:06.000]   Yeah, not for fine tuning. Always, I propose to have this new service from Google Cloud that you can tune in several minutes this kind of service is new one, but is it's made by Google collab and is now for free for now for free for a certain period of time.
[00:20:06.000 --> 00:20:15.000]   So we can to play with this. But to be honest, I don't have idea in real how this is working later on.
[00:20:15.000 --> 00:20:28.000]   So, what I am saying is, if we are going to tune our models is not going to be local. It has not to be. We need for sure we need the cloud. We need to use.
[00:20:28.000 --> 00:20:34.000]   Yeah.
[00:20:34.000 --> 00:20:40.000]   That's my sense.
[00:20:40.000 --> 00:20:53.000]   Okay, anything else in terms of this. No, no, no, no, you're good. Okay, I'll do one thing like when I propose this to lunch when there are any kinds of your two info conversations which are required.
[00:20:53.000 --> 00:20:56.000]   Okay, yes, sure.
[00:20:56.000 --> 00:21:13.000]   Perfect. And coming to agent to kill us during is so if you if you might have seen, I've put two meetings up front so that you know we have, you know, a thought process as to when and how we shall deliver.
[00:21:13.000 --> 00:21:21.000]   So if you see it next Monday, right on Tuesday, we have a meeting with the leadership.
[00:21:21.000 --> 00:21:34.000]   Okay, and that is where we propose the agent to kill us concept, right and our solution presentation which I shall do, but provided we have a clear understanding as to how we're going to implement it.
[00:21:34.000 --> 00:21:47.000]   How can we materialize the features that we thought about. Okay, because yesterday, the kind of features that I came up with I did go through all those features with Lakshman and he actually approved it.
[00:21:47.000 --> 00:21:58.000]   So these are all factors. And yes, if we finish it, that itself is a big win for agent to get us because ultimately, I'll go to the thing is, they are not a product based company.
[00:21:58.000 --> 00:22:01.000]   Okay, I'll put on the straight thought process here.
[00:22:01.000 --> 00:22:05.000]   We are going to build enterprise grade solution.
[00:22:05.000 --> 00:22:16.000]   We shall build when we get to a point where the customer feels yes, I'm impressed with the solution. I want to go forward and sign a deal with you guys.
[00:22:16.000 --> 00:22:21.000]   Okay, once that approach is done, that's when we shall enable them.
[00:22:21.000 --> 00:22:31.000]   Okay, we will be there and we will work with them in order to build a thought process right into enterprise grade for them. We shall integrate that.
[00:22:31.000 --> 00:22:53.000]   Okay, now for when it comes to the demonstration when it comes to when it comes to the concept, the two kinds of meetings that we have upcoming meeting is we need to have utmost clarity as to how we're going to deal with a couple of features those features that you know that then I'll forward it off to you.
[00:22:53.000 --> 00:23:12.000]   Okay, that's like, I kept few things with upon good amount of research, got those things. Okay, so one is borrowing strategy. So this is like, let's say, it's more or less like your intent, right, your intent, it understands.
[00:23:12.000 --> 00:23:26.000]   And it suggests to you what is the best boring structure after after it takes in couple of information. Right. See, I'll you don't have to take a granular look.
[00:23:26.000 --> 00:23:40.000]   I'll send this to send this information to you. Take a granular look and we cover the thought processes as to how we're going to change the backend update your models in order to achieve these few features.
[00:23:40.000 --> 00:23:53.000]   Okay. One is this one. See, what it states is instead of collecting just application data, the system should understand why the customer needs money and convert that into a best borrowing structure.
[00:23:53.000 --> 00:24:07.000]   That is it is it is helping the customer to understand that okay, there are always why as to why you need money and in that process like how we were doing some clarification questions right.
[00:24:07.000 --> 00:24:22.000]   So it's like a borrower says I need 18 likes for home renovation. So it's a daughter education something of that sort. Like, okay, the system respond with saying split it into a secure portion and insecure portion short and tenure for debt consolidation few.
[00:24:22.000 --> 00:24:36.000]   So these are only loan, you know, loan terms. Okay, which already the agent agent behind the scenes, it is intelligent enough to answer provided for the demonstration, whatever it says.
[00:24:36.000 --> 00:24:51.000]   See, as we do not have the customers is real data. Right. So we, we rely on some on synthetic data that you say, apart from that synthetic data we also rely on the elements trained information.
[00:24:51.000 --> 00:25:02.000]   But ultimately what we need to show to them is these are features. There is, there is, you know, it the system responds to you in such a manner where it suggests to you.
[00:25:02.000 --> 00:25:14.000]   It says the lowest EMI is this this is the fastest approval. These are the options that you have. Okay. So what it says is it's compelling way because loan officer do not just want to fill a form.
[00:25:14.000 --> 00:25:27.000]   They want a system that helps them advise better. Okay, you're getting it. So when a loan applyer is basically going and trying to apply a loan that is on the chat and chat board.
[00:25:27.000 --> 00:25:38.000]   Our systems should actually behave as an advisor advisor as to state out. So these are the better ways that we do it. This is how you do it.
[00:25:38.000 --> 00:25:50.000]   Got it. Right. So post post clarification questions being done. So obviously clarification questions in the sense you've seen this right like, you know, I've changed a couple of things.
[00:25:50.000 --> 00:26:08.000]   I'm just sure to, I might have to speak to Gabby as well regarding this. Just give me a minute.
[00:26:08.000 --> 00:26:22.000]   Okay. So after every question that you asked, let's say if I am going to home loan, you have multiple phases, you have all these phases. Are you able to see or I can see it.
[00:26:22.000 --> 00:26:24.000]   That's good. That's okay.
[00:26:24.000 --> 00:26:36.000]   Let's see lead an inquiry mode. So once is then application submission document collection. So what all are required in document collection. What are the key activities that need to be done.
[00:26:36.000 --> 00:26:50.000]   What are the required documents common bottlenecks where are the stakeholders would be involved in this. So all this information would be entirely state cloud. So let's say if I'm just going for this education loan.
[00:26:50.000 --> 00:27:09.000]   Okay. So when it comes to you, okay, this is all not necessary for you, but I'm just putting it out in a manner where you can actually imagine what from a model perspective, what from a backend perspective, you would need that is when I say I need an education loan for studies.
[00:27:09.000 --> 00:27:22.000]   I want the agent to respond in a very suggestive manner. Like, okay, obviously one thing is it should react well. It should, it should give more.
[00:27:22.000 --> 00:27:31.000]   How do I say agent behavior in a sense it should, it should behave like a like a like a human being itself. Oh yeah, I understand.
[00:27:31.000 --> 00:27:43.000]   Okay, I can, I can see that. Okay, got it. So there is some kind of English which makes it seem like it's not just a border that it's, it's a, it's like chat GPT or some kind of a very intelligent assistant which is that helping us.
[00:27:43.000 --> 00:27:44.000]   Okay.
[00:27:44.000 --> 00:28:00.000]   It might take some time, but yeah, so I need a home loan. So here, directly, it is putting it out. But if required, you can just go to an educational, let's get you started with you, which program and in University India abroad, when does it start also what loan amount do you expect.
[00:28:00.000 --> 00:28:09.000]   Right. So when it asks this, after it asks this, I might give out some information for it. And based on that, it might give me some, you know, some kind of solutions.
[00:28:09.000 --> 00:28:17.000]   Got it. It should not give me directly, but in post understanding, understanding my qualities like few clarification questions, right.
[00:28:17.000 --> 00:28:28.000]   Post those clarification questions, it should give me, it should allow me and once I just check something, let's say I go with an unsecured educational.
[00:28:28.000 --> 00:28:37.000]   Let's see how it reacts because I don't have the back in here, and education on.
[00:28:37.000 --> 00:28:56.000]   Okay, let's see what it replies but ultimately see these these kind of things which yesterday I've shown it to you. So this is one of the factor, good amount of questioning to and for questioning, and it gives us, it gives us a deterministic response.
[00:28:56.000 --> 00:29:08.000]   Which is, which is actually given by the elements by the model through a lot of, you know, understanding and classification of your user query intent classification of your user query, got it.
[00:29:08.000 --> 00:29:10.000]   Got it. Yeah.
[00:29:10.000 --> 00:29:12.000]   Yeah. Okay.
[00:29:12.000 --> 00:29:31.000]   So this is one thing. And so that is like one is your boring strategy, I'll give this to you by strategy advisor. So, so then after that approval probability navigator this is like one of the strongest demo features this is so ultimately what what this does is see current
[00:29:31.000 --> 00:29:43.000]   data for approval biggest blockers top three actions to improve any kinds of if at all any kinds of you know issues you might have how like you know and let's say your salary is very less but you want a huge loan.
[00:29:43.000 --> 00:29:55.000]   Is there a way that we can do something like is there a way are there are there multiple other ways can we can we do this to get an approval for you.
[00:29:55.000 --> 00:30:10.000]   Like splitting splitting the loan you understood right like trying to split the loan in multiple ways in order to at and try to try to give you some kind of some kind of you know loan or credit may not be a straightforward thing but you know in some manner can we actually
[00:30:10.000 --> 00:30:17.000]   try to split and you know it's like again advisory but the use case is different it is like when you're stuck.
[00:30:17.000 --> 00:30:36.000]   Again the system should continue to show like current probability of approval biggest blockers that we have any kind of actions top three actions to improve approval odds, like, like, we are not going to get this get the loan but you know are there any ways that we can actually get your loan solutions.
[00:30:36.000 --> 00:30:47.000]   Yeah. Okay. How do I say let's approval. I'm just trying to see past this approval path move from product A to product B and submit bank statements now something.
[00:30:47.000 --> 00:30:58.000]   Okay. So, the reviews requested amount by 8 percentage, add a co applicant income and update the latest salary credits to materially improved decision readiness.
[00:30:58.000 --> 00:31:05.000]   So it's it's trying to suggest us that you know try to reduce by 8% so that it will be easy for you to get a loan.
[00:31:05.000 --> 00:31:14.000]   So those kind of you know metrics and try to add another applicant along with you or something like that so that you can take a joint loan together.
[00:31:14.000 --> 00:31:18.000]   You do not have to go through this. You do not have to go through loan management.
[00:31:18.000 --> 00:31:34.000]   Okay. You just write those problems or you suggest suggest the you train your model in such a way where when it is being hit with a roadblock, it should never it should try to behind the scenes it should try to find out ways in order to in order to
[00:31:34.000 --> 00:31:49.000]   make make the approval probability higher rather than, you know, directly rejecting that candidate. We can also we should be able to suggest the candidate that maybe if you reduce your percentage by a bit.
[00:31:49.000 --> 00:32:00.000]   Or if you try to add another person or if you try to split this loan into a personal loan or vehicle loan, then you'll be able to get this much amount of money that you wanted.
[00:32:00.000 --> 00:32:08.000]   So that you can buy a car so that you can buy your phone that you understand we are helping with helping them out.
[00:32:08.000 --> 00:32:16.000]   You're there. I am I am I'm just just thinking about these topics. Yes.
[00:32:16.000 --> 00:32:28.000]   Yeah, see ultimately what I'm trying to speak is I see I'm going to leave it to you in terms of determining how we do this model trading we use knowledge basis we use any kind of workflows.
[00:32:28.000 --> 00:32:38.000]   That's all there. See, ultimately we need knowledge basis. That's one thing for sure. We need to train a model that is also another thing we need to write extensive system prompts that is for sure.
[00:32:38.000 --> 00:32:50.000]   We might need multiple other agents which might be tagged to our main orchestrator agent, which would be orchestrating a master agent orchestrator which would be dealing with multiple agents.
[00:32:50.000 --> 00:33:01.000]   The agent would be having trying to do something one would be doing risk analysis one would be trying to fetch some other you know data ways right and give answers to so there are multiple ways that we can deal with this.
[00:33:01.000 --> 00:33:14.000]   I'll leave it to you. You're the expert on that. But the thing is on a customer specific level right and you look at it. I want I want the agent the chat assistant to behave in this manner.
[00:33:14.000 --> 00:33:32.000]   Like it needs to have these features because Salesforce, Salesforce product does not have these features no other product has these features but our solution is going to come up with come up with features which is going to reduce, reduce, you know, a lot of manual brainstorming by the customer.
[00:33:32.000 --> 00:33:41.000]   Sorry, by the loan officer and multiple other entities who are going to be there. It is going to make life easy for the for the person who wants to apply loan.
[00:33:41.000 --> 00:33:48.000]   You got it. Yes, and that is that is new for me.
[00:33:48.000 --> 00:34:04.000]   I did you in the sense that you know what nobody else in the past is worried about how to deal with the agent. They take for granted the fact that you are dealing with an intelligent entity.
[00:34:04.000 --> 00:34:25.000]   But this new topic about you need to be like, not just like human but friendly and helpful. Right. So you need to make the experience kind of flowing experience. That's, I love that idea. I love it. Yes.
[00:34:25.000 --> 00:34:42.000]   Good that we are on the same page. And similarly, we have autonomous application completion agent we this what does it let's take a granular. So this is like the system should not ask just for documents.
